WW,Date,tWW,QTY
201852,2018-12-24,201937,242886
201852,2018-12-24,201938,242886
201852,2018-12-24,201939,242886
201852,2018-12-24,201940,208188
201852,2018-12-24,201941,242886
201852,2018-12-24,201942,242886
201852,2018-12-24,201943,242886
201852,2018-12-24,201944,208188
201852,2018-12-24,201945,242886
201852,2018-12-24,201946,242886
201852,2018-12-24,201947,242886
201852,2018-12-24,201948,242886
201852,2018-12-24,201949,242886
201852,2018-12-24,201950,242886
201852,2018-12-24,201951,234212
201852,2018-12-24,201952,1440198
201901,2018-12-31,201901,87897
201901,2018-12-31,201902,120400
201901,2018-12-31,201905,104100
201901,2018-12-31,201906,138800
201901,2018-12-31,201910,100554
201901,2018-12-31,201911,128509
201901,2018-12-31,201914,136352
201901,2018-12-31,201915,177111
201901,2018-12-31,201917,86405
201901,2018-12-31,201918,149368
201901,2018-12-31,201919,338601
201901,2018-12-31,201920,409296
201901,2018-12-31,201921,346430
201901,2018-12-31,201922,242886
201901,2018-12-31,201923,242886
201901,2018-12-31,201932,189099
201901,2018-12-31,201933,52640
201901,2018-12-31,201935,208188
201901,2018-12-31,201936,208188
201901,2018-12-31,201937,242886
201901,2018-12-31,201938,242886
201901,2018-12-31,201939,242886
201901,2018-12-31,201940,208188
201901,2018-12-31,201941,242886
201901,2018-12-31,201942,242886
201901,2018-12-31,201943,242886
201901,2018-12-31,201944,208188
201901,2018-12-31,201945,242886
201901,2018-12-31,201946,242886
201901,2018-12-31,201947,242886
201901,2018-12-31,201948,242886
201901,2018-12-31,201949,242886
201901,2018-12-31,201950,242886
201901,2018-12-31,201951,234212
201901,2018-12-31,201952,234212
201901,2018-12-31,202001,1150708
201902,2019-01-07,201902,133392
201902,2019-01-07,201905,104100
201902,2019-01-07,201906,138800
201902,2019-01-07,201910,225550
201902,2019-01-07,201911,52050
201902,2019-01-07,201914,121450
201902,2019-01-07,201915,242900
201902,2019-01-07,201916,17350
201902,2019-01-07,201919,17350
201902,2019-01-07,201920,225550
201902,2019-01-07,201921,242900
201902,2019-01-07,201923,242900
201902,2019-01-07,201924,225550
201902,2019-01-07,201925,52050
201902,2019-01-07,201927,242900
201902,2019-01-07,201928,225550
201902,2019-01-07,201929,225550
201902,2019-01-07,201932,208200
201902,2019-01-07,201933,242900
201902,2019-01-07,201934,138800
201902,2019-01-07,201935,69400
201902,2019-01-07,201936,451100
201902,2019-01-07,201937,364350
201902,2019-01-07,201938,225550
201902,2019-01-07,201939,242900
201902,2019-01-07,201940,242900
201902,2019-01-07,201941,485800
201902,2019-01-07,201942,451100
201902,2019-01-07,201943,451100
201902,2019-01-07,201944,225550
201902,2019-01-07,201945,468450
201902,2019-01-07,201946,451100
201902,2019-01-07,201947,485800
201902,2019-01-07,201948,416400
201902,2019-01-07,201949,242900
201902,2019-01-07,201950,225550
201902,2019-01-07,201951,242900
201902,2019-01-07,201952,86750
201902,2019-01-07,202001,281400
201902,2019-01-07,202002,1195499
201903,2019-01-14,201905,104100
201903,2019-01-14,201906,138800
201903,2019-01-14,201910,225550
201903,2019-01-14,201911,52050
201903,2019-01-14,201914,121450
201903,2019-01-14,201915,242900
201903,2019-01-14,201916,17350
201903,2019-01-14,201919,17350
201903,2019-01-14,201920,225550
201903,2019-01-14,201921,242900
201903,2019-01-14,201923,242900
201903,2019-01-14,201924,225550
201903,2019-01-14,201925,52050
201903,2019-01-14,201927,242900
201903,2019-01-14,201928,225550
201903,2019-01-14,201929,225550
201903,2019-01-14,201932,208200
201903,2019-01-14,201933,242900
201903,2019-01-14,201934,138800
201903,2019-01-14,201935,69400
201903,2019-01-14,201936,451100
201903,2019-01-14,201937,364350
201903,2019-01-14,201938,225550
201903,2019-01-14,201939,242900
201903,2019-01-14,201940,242900
201903,2019-01-14,201941,485800
201903,2019-01-14,201942,451100
201903,2019-01-14,201943,451100
201903,2019-01-14,201944,225550
201903,2019-01-14,201945,468450
201903,2019-01-14,201946,451100
201903,2019-01-14,201947,485800
201903,2019-01-14,201948,416400
201903,2019-01-14,201949,242900
201903,2019-01-14,201950,225550
201903,2019-01-14,201951,242900
201903,2019-01-14,201952,86750
201903,2019-01-14,202001,281800
201903,2019-01-14,202002,230100
201903,2019-01-14,202003,1172925
201904,2019-01-21,201906,138800
201904,2019-01-21,201910,34700
201904,2019-01-21,201911,242900
201904,2019-01-21,201914,121450
201904,2019-01-21,201915,242900
201904,2019-01-21,201916,17350
201904,2019-01-21,201919,17350
201904,2019-01-21,201920,225550
201904,2019-01-21,201921,242900
201904,2019-01-21,201923,242900
201904,2019-01-21,201924,225550
201904,2019-01-21,201925,52050
201904,2019-01-21,201927,242900
201904,2019-01-21,201928,225550
201904,2019-01-21,201929,225550
201904,2019-01-21,201932,208200
201904,2019-01-21,201933,242900
201904,2019-01-21,201934,138800
201904,2019-01-21,201935,69400
201904,2019-01-21,201936,451100
201904,2019-01-21,201937,364350
201904,2019-01-21,201938,225550
201904,2019-01-21,201939,242900
201904,2019-01-21,201940,242900
201904,2019-01-21,201941,485800
201904,2019-01-21,201942,451100
201904,2019-01-21,201943,451100
201904,2019-01-21,201944,225550
201904,2019-01-21,201945,468450
201904,2019-01-21,201946,451100
201904,2019-01-21,201947,485800
201904,2019-01-21,201948,416400
201904,2019-01-21,201949,242900
201904,2019-01-21,201950,225550
201904,2019-01-21,201951,242900
201904,2019-01-21,201952,86750
201904,2019-01-21,202001,281400
201904,2019-01-21,202002,230000
201904,2019-01-21,202003,248000
201904,2019-01-21,202004,1960409
201905,2019-01-28,201909,34700
201905,2019-01-28,201910,208200
201905,2019-01-28,201912,34700
201905,2019-01-28,201914,208200
201905,2019-01-28,201915,242900
201905,2019-01-28,201916,173500
201905,2019-01-28,201919,17350
201905,2019-01-28,201920,225550
201905,2019-01-28,201921,242900
201905,2019-01-28,201923,242900
201905,2019-01-28,201924,225550
201905,2019-01-28,201925,52050
201905,2019-01-28,201927,242900
201905,2019-01-28,201928,225550
201905,2019-01-28,201929,225550
201905,2019-01-28,201932,208200
201905,2019-01-28,201933,242900
201905,2019-01-28,201934,138800
201905,2019-01-28,201935,69400
201905,2019-01-28,201936,451100
201905,2019-01-28,201937,364350
201905,2019-01-28,201938,225550
201905,2019-01-28,201939,242900
201905,2019-01-28,201940,242900
201905,2019-01-28,201941,485800
201905,2019-01-28,201942,451100
201905,2019-01-28,201943,451100
201905,2019-01-28,201944,225550
201905,2019-01-28,201945,468450
201905,2019-01-28,201946,451100
201905,2019-01-28,201947,485800
201905,2019-01-28,201948,416400
201905,2019-01-28,201949,242900
201905,2019-01-28,201950,225550
201905,2019-01-28,201951,242900
201905,2019-01-28,201952,86750
201905,2019-01-28,202001,281400
201905,2019-01-28,202002,230000
201905,2019-01-28,202003,248000
201905,2019-01-28,202004,230000
201905,2019-01-28,202005,518
201906,2019-02-04,201909,34700
201906,2019-02-04,201910,208200
201906,2019-02-04,201912,34700
201906,2019-02-04,201918,167590
201906,2019-02-04,201919,234626
201906,2019-02-04,201920,201108
201906,2019-02-04,201921,196775
201906,2019-02-04,202001,159229
201906,2019-02-04,202002,226265
201906,2019-02-04,202003,226265
201906,2019-02-04,202004,293761
201906,2019-02-04,202005,293761
201906,2019-02-04,202006,7897472
201907,2019-02-11,201909,34700
201907,2019-02-11,201910,208200
201907,2019-02-11,201912,34700
201907,2019-02-11,201914,156150
201907,2019-02-11,201915,242900
201907,2019-02-11,201916,173500
201907,2019-02-11,201919,17350
201907,2019-02-11,201920,225550
201907,2019-02-11,201921,242900
201907,2019-02-11,201923,242900
201907,2019-02-11,201924,225550
201907,2019-02-11,201925,52050
201907,2019-02-11,201927,242900
201907,2019-02-11,201928,225550
201907,2019-02-11,201929,225550
201907,2019-02-11,201932,208200
201907,2019-02-11,201933,242900
201907,2019-02-11,201934,138800
201907,2019-02-11,201935,69400
201907,2019-02-11,201936,451100
201907,2019-02-11,201937,364350
201907,2019-02-11,201938,225550
201907,2019-02-11,201939,242900
201907,2019-02-11,201940,242900
201907,2019-02-11,201941,485800
201907,2019-02-11,201942,451100
201907,2019-02-11,201943,451100
201907,2019-02-11,201944,225550
201907,2019-02-11,201945,468450
201907,2019-02-11,201946,451100
201907,2019-02-11,201947,485800
201907,2019-02-11,201948,416400
201907,2019-02-11,201949,242900
201907,2019-02-11,201950,225550
201907,2019-02-11,201951,242900
201907,2019-02-11,201952,86750
201907,2019-02-11,202001,281800
201907,2019-02-11,202002,230100
201907,2019-02-11,202003,247800
201907,2019-02-11,202004,230100
201907,2019-02-11,202005,247800
201907,2019-02-11,202006,230100
201907,2019-02-11,202007,748935
201908,2019-02-18,201909,34700
201908,2019-02-18,201910,208200
201908,2019-02-18,201912,34700
201908,2019-02-18,201914,208200
201908,2019-02-18,201915,242900
201908,2019-02-18,201916,173500
201908,2019-02-18,201919,17350
201908,2019-02-18,201920,225550
201908,2019-02-18,201921,242900
201908,2019-02-18,201923,242900
201908,2019-02-18,201924,225550
201908,2019-02-18,201925,52050
201908,2019-02-18,201927,242900
201908,2019-02-18,201928,225550
201908,2019-02-18,201929,225550
201908,2019-02-18,201932,208200
201908,2019-02-18,201933,242900
201908,2019-02-18,201934,138800
201908,2019-02-18,201935,69400
201908,2019-02-18,201936,451100
201908,2019-02-18,201937,242900
201908,2019-02-18,201938,225550
201908,2019-02-18,201939,242900
201908,2019-02-18,201940,242900
201908,2019-02-18,201941,485800
201908,2019-02-18,201942,451100
201908,2019-02-18,201943,451100
201908,2019-02-18,201944,225550
201908,2019-02-18,201945,468450
201908,2019-02-18,201946,451100
201908,2019-02-18,201947,485800
201908,2019-02-18,201948,416400
201908,2019-02-18,201949,242900
201908,2019-02-18,201950,225550
201908,2019-02-18,201951,242900
201908,2019-02-18,201952,86750
201908,2019-02-18,202001,281800
201908,2019-02-18,202002,230100
201908,2019-02-18,202003,247800
201908,2019-02-18,202004,230100
201908,2019-02-18,202005,247800
201908,2019-02-18,202006,230100
201908,2019-02-18,202007,247800
201908,2019-02-18,202008,7971067
201909,2019-02-25,201909,34700
201909,2019-02-25,201910,208200
201909,2019-02-25,201912,34700
201909,2019-02-25,201914,208200
201909,2019-02-25,201916,173500
201909,2019-02-25,201917,173500
201909,2019-02-25,201918,69400
201909,2019-02-25,201919,17350
201909,2019-02-25,201920,225550
201909,2019-02-25,201921,242900
201909,2019-02-25,201923,242900
201909,2019-02-25,201924,225550
201909,2019-02-25,201925,52050
201909,2019-02-25,201927,242900
201909,2019-02-25,201928,225550
201909,2019-02-25,201929,225550
201909,2019-02-25,201932,208200
201909,2019-02-25,201933,242900
201909,2019-02-25,201934,138800
201909,2019-02-25,201935,69400
201909,2019-02-25,201936,451100
201909,2019-02-25,201937,242900
201909,2019-02-25,201938,225550
201909,2019-02-25,201939,242900
201909,2019-02-25,201940,242900
201909,2019-02-25,201941,485800
201909,2019-02-25,201942,451100
201909,2019-02-25,201943,451100
201909,2019-02-25,201944,225550
201909,2019-02-25,201945,468450
201909,2019-02-25,201946,451100
201909,2019-02-25,201947,485800
201909,2019-02-25,201948,416400
201909,2019-02-25,201949,242900
201909,2019-02-25,201950,225550
201909,2019-02-25,201951,242900
201909,2019-02-25,201952,86750
201909,2019-02-25,202001,246400
201909,2019-02-25,202002,230100
201909,2019-02-25,202003,247800
201909,2019-02-25,202004,230100
201909,2019-02-25,202005,247800
201909,2019-02-25,202006,230100
201909,2019-02-25,202007,247800
201909,2019-02-25,202008,230100
201909,2019-02-25,202009,7984314
201910,2019-03-04,201910,179977
201910,2019-03-04,201912,34700
201910,2019-03-04,201914,208200
201910,2019-03-04,201916,173500
201910,2019-03-04,201917,173500
201910,2019-03-04,201918,242900
201910,2019-03-04,201920,242900
201910,2019-03-04,201921,242900
201910,2019-03-04,201923,242900
201910,2019-03-04,201924,225550
201910,2019-03-04,201925,52050
201910,2019-03-04,201927,244900
201910,2019-03-04,201928,225550
201910,2019-03-04,201929,225550
201910,2019-03-04,201932,208200
201910,2019-03-04,201933,242900
201910,2019-03-04,201934,138800
201910,2019-03-04,201935,69400
201910,2019-03-04,201936,451100
201910,2019-03-04,201937,242900
201910,2019-03-04,201938,225550
201910,2019-03-04,201939,242900
201910,2019-03-04,201940,242900
201910,2019-03-04,201941,485800
201910,2019-03-04,201942,451100
201910,2019-03-04,201943,451100
201910,2019-03-04,201944,225550
201910,2019-03-04,201945,468450
201910,2019-03-04,201946,451100
201910,2019-03-04,201947,485800
201910,2019-03-04,201948,416400
201910,2019-03-04,201949,242900
201910,2019-03-04,201950,225550
201910,2019-03-04,201951,242900
201910,2019-03-04,201952,86750
201910,2019-03-04,202001,396850
201910,2019-03-04,202002,425685
201910,2019-03-04,202003,483210
201910,2019-03-04,202004,448695
201910,2019-03-04,202005,483210
201910,2019-03-04,202006,448695
201910,2019-03-04,202007,495600
201910,2019-03-04,202008,460200
201910,2019-03-04,202009,495600
201910,2019-03-04,202010,11221826
201911,2019-03-11,201911,33413
201911,2019-03-11,201914,138800
201911,2019-03-11,201916,104100
201911,2019-03-11,201917,173500
201911,2019-03-11,201918,242900
201911,2019-03-11,201920,242900
201911,2019-03-11,201921,69400
201911,2019-03-11,201923,242900
201911,2019-03-11,201924,225550
201911,2019-03-11,201925,52050
201911,2019-03-11,201927,244900
201911,2019-03-11,201928,225550
201911,2019-03-11,201929,34700
201911,2019-03-11,201932,208200
201911,2019-03-11,201933,242900
201911,2019-03-11,201934,138800
201911,2019-03-11,201935,69400
201911,2019-03-11,201936,225550
201911,2019-03-11,201937,242900
201911,2019-03-11,201940,190850
201911,2019-03-11,201941,242900
201911,2019-03-11,201942,225550
201911,2019-03-11,201943,104100
201911,2019-03-11,201945,225550
201911,2019-03-11,201946,225550
201911,2019-03-11,201947,138800
201911,2019-03-11,201948,242900
201911,2019-03-11,201949,485800
201911,2019-03-11,201950,451100
201911,2019-03-11,201951,485800
201911,2019-03-11,201952,86750
201911,2019-03-11,202001,423400
201911,2019-03-11,202002,460200
201911,2019-03-11,202003,495600
201911,2019-03-11,202004,460200
201911,2019-03-11,202005,495600
201911,2019-03-11,202006,460200
201911,2019-03-11,202007,495600
201911,2019-03-11,202008,460200
201911,2019-03-11,202009,495600
201911,2019-03-11,202010,460200
201911,2019-03-11,202011,7963335
201911,2019-03-11,202012,3758150
201912,2019-03-18,201914,69400
201912,2019-03-18,201915,104100
201912,2019-03-18,201916,104100
201912,2019-03-18,201917,173500
201912,2019-03-18,201918,173500
201912,2019-03-18,201920,242900
201912,2019-03-18,201921,69400
