Plan Date,Date,QTY_x,QTY_y
201901,201939,242891.5604130812,7
201901,201940,208192.7666092946,6
201901,201941,242891.56092943248,7
201901,201942,242891.5602409641,7
201901,201943,242891.56110154948,7
201901,201944,208192.76649455,6
201901,201945,242891.56081468367,7
201901,201946,242891.5604130854,7
201901,201947,242891.5608146877,7
201901,201948,242891.56081468778,7
201901,201949,242891.5605629937,7
201901,201950,242891.5606647753,7
201901,201951,234216.8620124915,7
201901,201952,234216.86178883677,7
201901,202001,1150708.57245307,1
201902,201902,133392.0,5
201902,201905,104100.0,3
201902,201906,138800.0,4
201902,201910,225550.0,7
201902,201911,52050.0,7
201902,201914,121450.0,7
201902,201915,242900.0,7
201902,201916,17350.0,7
201902,201919,17350.0,7
201902,201920,225550.0,7
201902,201921,242900.0,7
201902,201923,242900.0,7
201902,201924,225550.0,7
201902,201925,52050.0,7
201902,201927,242900.0,7
201902,201928,225550.0,7
201902,201929,225550.0,7
201902,201932,208200.0,7
201902,201933,242900.0,7
201902,201934,138800.0,7
201902,201935,69400.0,2
201902,201936,451100.0,14
201902,201937,364350.0,14
201902,201938,225550.0,7
201902,201939,242900.0,7
201902,201940,242900.0,13
201902,201941,485800.0,14
201902,201942,451100.0,14
201902,201943,451100.0,14
201902,201944,225550.0,7
201902,201945,468450.0,14
201902,201946,451100.0,14
201902,201947,485800.0,14
201902,201948,416400.0,12
201902,201949,242900.0,7
201902,201950,225550.0,7
201902,201951,242900.0,7
201902,201952,86750.0,7
201902,202001,281400.0,7
201902,202002,1195499.08514986,1
201903,201905,104100.0,3
201903,201906,138800.0,4
201903,201910,225550.0,7
201903,201911,52050.0,7
201903,201914,121450.0,7
201903,201915,242900.0,7
201903,201916,17350.0,7
201903,201919,17350.0,7
201903,201920,225550.0,7
201903,201921,242900.0,7
201903,201923,242900.0,7
201903,201924,225550.0,7
201903,201925,52050.0,7
201903,201927,242900.0,7
201903,201928,225550.0,7
201903,201929,225550.0,7
201903,201932,208200.0,7
201903,201933,242900.0,7
201903,201934,138800.0,7
201903,201935,69400.0,2
201903,201936,451100.0,14
201903,201937,364350.0,14
201903,201938,225550.0,7
201903,201939,242900.0,7
201903,201940,242900.0,13
201903,201941,485800.0,14
201903,201942,451100.0,14
201903,201943,451100.0,14
201903,201944,225550.0,7
201903,201945,468450.0,14
201903,201946,451100.0,14
201903,201947,485800.0,14
201903,201948,416400.0,12
201903,201949,242900.0,7
201903,201950,225550.0,7
201903,201951,242900.0,7
201903,201952,86750.0,7
201903,202001,281800.0,7
201903,202002,230100.0,7
201903,202003,1172925.3716152,1
201904,201906,138800.0,4
201904,201910,34700.0,1
201904,201911,242900.0,7
201904,201914,121450.0,7
201904,201915,242900.0,7
201904,201916,17350.0,7
201904,201919,17350.0,7
201904,201920,225550.0,7
201904,201921,242900.0,7
201904,201923,242900.0,7
201904,201924,225550.0,7
201904,201925,52050.0,7
201904,201927,242900.0,7
201904,201928,225550.0,7
201904,201929,225550.0,7
201904,201932,208200.0,7
201904,201933,242900.0,7
201904,201934,138800.0,7
201904,201935,69400.0,2
201904,201936,451100.0,14
201904,201937,364350.0,14
201904,201938,225550.0,7
201904,201939,242900.0,7
201904,201940,242900.0,13
201904,201941,485800.0,14
201904,201942,451100.0,14
201904,201943,451100.0,14
201904,201944,225550.0,7
201904,201945,468450.0,14
201904,201946,451100.0,14
201904,201947,485800.0,14
201904,201948,416400.0,12
201904,201949,242900.0,7
201904,201950,225550.0,7
201904,201951,242900.0,7
201904,201952,86750.0,7
201904,202001,281400.0,7
201904,202002,230000.0,7
201904,202003,248000.0,7
201904,202004,1960409.77481439,1
201905,201909,34700.0,1
201905,201910,208200.0,6
201905,201912,34700.0,1
201905,201914,208200.0,7
201905,201915,242900.0,7
201905,201916,173500.0,7
201905,201919,17350.0,7
201905,201920,225550.0,7
201905,201921,242900.0,7
201905,201923,242900.0,7
201905,201924,225550.0,7
201905,201925,52050.0,7
201905,201927,242900.0,7
201905,201928,225550.0,7
201905,201929,225550.0,7
201905,201932,208200.0,7
201905,201933,242900.0,7
201905,201934,138800.0,7
201905,201935,69400.0,2
201905,201936,451100.0,14
201905,201937,364350.0,14
201905,201938,225550.0,7
201905,201939,242900.0,7
201905,201940,242900.0,13
201905,201941,485800.0,14
201905,201942,451100.0,14
201905,201943,451100.0,14
201905,201944,225550.0,7
201905,201945,468450.0,14
201905,201946,451100.0,14
201905,201947,485800.0,14
201905,201948,416400.0,12
201905,201949,242900.0,7
201905,201950,225550.0,7
201905,201951,242900.0,7
201905,201952,86750.0,7
201905,202001,281400.0,7
201905,202002,230000.00000000023,7
201905,202003,248000.0,7
201905,202004,230000.0,7
201905,202005,518.3819292697,1
201906,201909,34700.0,1
201906,201910,208200.0,6
201906,201912,34700.0,1
201906,201918,167593.06402186048,5
201906,201919,234630.29019234813,7
201906,201920,201111.6775763558,6
201906,201921,196778.9341476317,7
201906,202001,159231.4840537983,5
201906,202002,226268.71074787382,7
201906,202003,226268.710771932,7
201906,202004,293768.70931357966,14
201906,202005,293768.7103100236,14
201906,202006,7897472.54435942,1
201907,201909,34700.0,1
201907,201910,208200.0,6
201907,201912,34700.0,1
201907,201914,156150.0,5
201907,201915,242900.0,7
201907,201916,173500.0,7
201907,201919,17350.0,7
201907,201920,225550.0,7
201907,201921,242900.0,7
201907,201923,242900.0,7
201907,201924,225550.0,7
201907,201925,52050.0,7
201907,201927,242900.0,7
201907,201928,225550.0,7
201907,201929,225550.0,7
201907,201932,208200.0,7
201907,201933,242900.0,7
201907,201934,138800.0,7
201907,201935,69400.0,2
201907,201936,451100.0,14
201907,201937,364350.0,14
201907,201938,225550.0,7
201907,201939,242900.0,7
201907,201940,242900.0,13
201907,201941,485800.0,14
201907,201942,451100.0,14
201907,201943,451100.0,14
201907,201944,225550.0,7
201907,201945,468450.0,14
201907,201946,451100.0,14
201907,201947,485800.0,14
201907,201948,416400.0,12
201907,201949,242900.0,7
201907,201950,225550.0,7
201907,201951,242900.0,7
201907,201952,86750.0,7
201907,202001,281800.0,7
201907,202002,230100.0,7
201907,202003,247800.0,7
201907,202004,230100.0,7
201907,202005,247800.0,7
201907,202006,230100.0,7
201907,202007,748935.992802911,1
201908,201909,34700.0,1
201908,201910,208200.0,6
201908,201912,34700.0,1
201908,201914,208200.0,6
201908,201915,242900.0,7
201908,201916,173500.0,7
201908,201919,17350.0,7
201908,201920,225550.0,7
201908,201921,242900.0,7
201908,201923,242900.0,7
201908,201924,225550.0,7
201908,201925,52050.0,7
201908,201927,242900.0,7
201908,201928,225550.0,7
201908,201929,225550.0,7
201908,201932,208200.0,7
201908,201933,242900.0,7
201908,201934,138800.0,7
201908,201935,69400.0,2
201908,201936,451100.0,14
201908,201937,242900.0,7
201908,201938,225550.0,7
201908,201939,242900.0,7
201908,201940,242900.0,13
201908,201941,485800.0,14
201908,201942,451100.0,14
201908,201943,451100.0,14
201908,201944,225550.0,7
201908,201945,468450.0,14
201908,201946,451100.0,14
201908,201947,485800.0,14
201908,201948,416400.0,12
201908,201949,242900.0,7
201908,201950,225550.0,7
201908,201951,242900.0,7
201908,201952,86750.0,7
201908,202001,281800.0,7
201908,202002,230100.0,7
201908,202003,247800.0,7
201908,202004,230100.0,7
201908,202005,247800.0,7
201908,202006,230100.0,7
201908,202007,247800.0,7
201908,202008,7971067.64819976,1
201909,201909,34700.0,1
201909,201910,208200.0,6
201909,201912,34700.0,1
201909,201914,208200.0,6
201909,201916,173500.0,5
201909,201917,173500.0,7
201909,201918,69400.0,2
201909,201919,17350.0,7
201909,201920,225550.0,7
201909,201921,242900.0,7
201909,201923,242900.0,7
201909,201924,225550.0,7
201909,201925,52050.0,7
201909,201927,242900.0,7
201909,201928,225550.0,7
201909,201929,225550.0,7
201909,201932,208200.0,7
201909,201933,242900.0,7
201909,201934,138800.0,7
201909,201935,69400.0,2
201909,201936,451100.0,14
201909,201937,242900.0,7
201909,201938,225550.0,7
201909,201939,242900.0,7
201909,201940,242900.0,13
201909,201941,485800.0,14
201909,201942,451100.0,14
201909,201943,451100.0,14
201909,201944,225550.0,7
201909,201945,468450.0,14
201909,201946,451100.0,14
201909,201947,485800.0,14
201909,201948,416400.0,12
201909,201949,242900.0,7
201909,201950,225550.0,7
201909,201951,242900.0,7
201909,201952,86750.0,7
201909,202001,246400.0,7
201909,202002,230100.0,7
201909,202003,247800.0,7
201909,202004,230100.0,7
201909,202005,247800.0,7
201909,202006,230100.0,7
201909,202007,247800.0,7
201909,202008,230100.0,7
201909,202009,7984314.87697365,1
201910,201910,179977.0,6
201910,201912,34700.0,1
201910,201914,208200.0,6
201910,201916,173500.0,5
201910,201917,173500.0,5
201910,201918,242900.0,7
201910,201920,242900.0,7
201910,201921,242900.0,7
201910,201923,242900.0,7
201910,201924,225550.0,7
201910,201925,52050.0,7
201910,201927,244900.0,14
201910,201928,225550.0,7
201910,201929,225550.0,7
201910,201932,208200.0,7
201910,201933,242900.0,7
201910,201934,138800.0,7
201910,201935,69400.0,2
201910,201936,451100.0,14
201910,201937,242900.0,7
201910,201938,225550.0,7
201910,201939,242900.0,7
201910,201940,242900.0,13
201910,201941,485800.0,14
201910,201942,451100.0,14
201910,201943,451100.0,14
201910,201944,225550.0,7
201910,201945,468450.0,14
201910,201946,451100.0,14
201910,201947,485800.0,14
201910,201948,416400.0,12
201910,201949,242900.0,7
201910,201950,225550.0,7
201910,201951,242900.0,7
201910,201952,86750.0,7
201910,202001,396850.0,12
201910,202002,425685.0,14
201910,202003,483210.0,14
201910,202004,448695.0,14
201910,202005,483210.0,14
201910,202006,448695.0,14
201910,202007,495600.0,14
201910,202008,460200.0,14
201910,202009,495600.0,14
201910,202010,11221827.4,2
201911,201911,33413.0,2
201911,201914,138800.0,4
201911,201916,104100.0,3
201911,201917,173500.0,5
201911,201918,242900.0,7
201911,201920,242900.0,7
201911,201921,69400.0,7
201911,201923,242900.0,7
201911,201924,225550.0,7
201911,201925,52050.0,7
201911,201927,244900.0,14
201911,201928,225550.0,7
201911,201929,34700.0,7
201911,201932,208200.0,7
201911,201933,242900.0,7
201911,201934,138800.0,7
201911,201935,69400.0,2
201911,201936,225550.0,7
201911,201937,242900.0,7
201911,201940,190850.0,6
201911,201941,242900.0,7
201911,201942,225550.0,7
201911,201943,104100.0,7
201911,201945,225550.0,7
201911,201946,225550.0,7
201911,201947,138800.0,14
201911,201948,242900.0,8
201911,201949,485800.0,14
201911,201950,451100.0,14
201911,201951,485800.0,14
201911,201952,86750.0,7
201911,202001,423400.0,12
201911,202002,460200.0,14
201911,202003,495600.0,14
201911,202004,460200.0,14
201911,202005,495600.0,14
201911,202006,460200.0,14
201911,202007,495600.0,14
201911,202008,460200.0,14
201911,202009,495600.0,14
201911,202010,460200.0,14
201911,202011,7963335.11270654,2
201911,202012,3758150.60054647,1
201912,201914,69400.0,2
201912,201915,104100.0,3
201912,201916,104100.0,3
201912,201917,173500.0,5
201912,201918,173500.0,5
201912,201920,242900.0,7
201912,201921,69400.0,7
201912,201923,242900.0,7
201912,201924,225550.0,7
201912,201925,52050.0,7
201912,201927,244900.0,14
201912,201928,225550.0,7
201912,201929,34700.0,7
201912,201932,208200.0,7
201912,201933,242900.0,7
201912,201934,138800.0,7
201912,201935,69400.0,2
201912,201936,225550.0,7
201912,201937,242900.0,7
201912,201940,190850.0,6
201912,201941,242900.0,7
201912,201942,225550.0,7
201912,201943,104100.0,7
201912,201945,225550.0,7
201912,201946,225550.0,7
201912,201947,138800.0,14
201912,201948,242900.0,8
201912,201949,485800.0,14
201912,201950,451100.0,14
201912,201951,485800.0,14
201912,201952,173500.0,14
201912,202001,492800.0,14
201912,202002,460200.0,14
201912,202003,495600.0,14
201912,202004,460200.0,14
201912,202005,495600.0,14
201912,202006,460200.0,14
201912,202007,495600.0,14
201912,202008,460200.0,14
201912,202009,495600.0,14
201912,202010,460200.0,14
201912,202011,495600.0,14
201912,202012,5662776.965028087,3
201913,201914,69400.0,2
201913,201915,104100.0,3
201913,201916,104100.0,3
201913,201917,168500.0,5
201913,201918,173500.0,5
201913,201921,69400.0,7
201913,201923,242900.0,7
201913,201924,225550.0,7
201913,201925,52050.0,7
201913,201927,244900.0,14
201913,201928,225550.0,7
201913,201929,34700.0,7
201913,201932,208200.0,7
201913,201933,242900.0,7
201913,201934,138800.0,7
201913,201935,34700.0,1
201913,201936,225550.0,7
201913,201937,242900.0,7
201913,201938,34700.0,7
201913,201940,190850.0,6
201913,201941,242900.0,7
201913,201942,225550.0,7
201913,201943,104100.0,7
201913,201945,225550.0,7
201913,201946,225550.0,7
201913,201947,138800.0,14
201913,201948,242900.0,8
201913,201949,485800.0,14
201913,201950,451100.0,14
201913,201951,485800.0,14
201913,201952,173500.0,14
201913,202001,492800.0,14
201913,202002,460200.0,14
201913,202003,495600.0,14
201913,202004,460200.0,14
201913,202005,495600.0,14
201913,202006,460200.0,14
201913,202007,495600.0,14
201913,202008,460200.0,14
201913,202009,495600.0,14
201913,202010,460200.0,14
201913,202011,495600.0,14
201913,202012,460200.0,14
201913,202013,6085761.790890238,3
201913,202014,172630.034086345,1
201914,201914,63028.0,3
201914,201915,104100.0,3
201914,201916,104100.0,3
201914,201917,173500.0,5
201914,201918,173500.0,5
201914,201920,237900.0,7
201914,201921,69400.0,2
201914,201923,242900.0,7
201914,201924,225550.0,7
201914,201925,52050.0,7
201914,201927,244900.0,14
201914,201928,225550.0,7
201914,201929,34700.0,7
201914,201932,208200.0,7
201914,201933,242900.0,7
201914,201934,138800.0,7
201914,201935,34700.0,1
201914,201936,225550.0,7
201914,201937,242900.0,7
201914,201938,34700.0,7
201914,201940,190850.0,6
201914,201941,242900.0,7
201914,201942,225550.0,7
201914,201943,104100.0,7
201914,201945,225550.0,7
201914,201946,225550.0,7
201914,201947,138800.0,14
201914,201948,242900.0,8
201914,201949,485800.0,14
201914,201950,451100.0,14
201914,201951,485800.0,14
201914,201952,173500.0,14
201914,202001,485800.0,14
201914,202002,451100.0,14
201914,202003,485800.0,14
201914,202004,451100.0,14
201914,202005,485800.0,14
201914,202006,451100.0,14
201914,202007,485800.0,14
201914,202008,451100.0,14
201914,202009,485800.0,14
201914,202010,451100.0,14
201914,202011,485800.0,14
201914,202012,451100.0,14
201914,202013,485800.0,14
201914,202014,2919190.86122685,1
201914,202015,3311249.85202616,1
201915,201915,127965.0,5
201915,201916,104100.0,3
201915,201917,173500.0,5
201915,201918,173500.0,5
201915,201920,237900.0,7
201915,201921,69400.0,2
201915,201923,242900.0,7
201915,201924,225550.0,7
201915,201925,52050.0,7
201915,201927,244900.0,14
201915,201928,225550.0,7
201915,201929,34700.0,7
201915,201932,208200.0,7
201915,201933,242900.0,7
201915,201934,138800.0,7
201915,201935,34700.0,1
201915,201936,225550.0,7
201915,201937,242900.0,7
201915,201938,34700.0,7
201915,201940,190850.0,6
201915,201941,242900.0,7
201915,201942,225550.0,7
201915,201943,104100.0,7
201915,201945,225550.0,7
201915,201946,225550.0,7
201915,201947,138800.0,14
201915,201948,242900.0,8
201915,201949,485800.0,14
201915,201950,451100.0,14
201915,201951,485800.0,14
201915,201952,173500.0,14
201915,202001,485800.0,14
201915,202002,451100.0,14
201915,202003,485800.0,14
201915,202004,451100.0,14
201915,202005,485800.0,14
201915,202006,451100.0,14
201915,202007,485800.0,14
201915,202008,451100.0,14
201915,202009,485800.0,14
201915,202010,451100.0,14
201915,202011,485800.0,14
201915,202012,451100.0,14
201915,202013,485800.0,14
201915,202014,456000.0,14
201915,202015,830926.82,1
201915,202016,3885840.0,1
201916,201916,90887.0,4
201916,201917,173500.0,5
201916,201918,173500.0,5
201916,201920,237900.0,7
201916,201921,69400.0,2
201916,201923,242900.0,7
201916,201924,225550.0,7
201916,201925,52050.0,7
201916,201927,244900.0,14
201916,201928,225550.0,7
