DIVISION_ID,PLAN_START_YYYYMMDD,PLAN_TYPE,SEQ,OPERATION_GROUP,SCM_SITE_ID,ITEM_ID,LINE_ID,OPERATION_ID,MEASURE,YYYYMMDD,WW,YYYYMM,QTY
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200530,22,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200531,23,202005,166
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200601,23,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200602,23,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200603,23,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200604,23,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200605,23,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200606,23,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200607,24,202006,158
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200608,24,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200609,24,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200610,24,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200611,24,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200612,24,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200613,24,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200614,25,202006,158
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200615,25,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200616,25,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200617,25,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200618,25,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200619,25,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200620,25,202006,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200621,26,202006,158
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200622,26,202006,57
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200623,26,202006,57
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200624,26,202006,57
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200625,26,202006,57
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200626,26,202006,57
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200627,26,202006,57
