Week,Product,Var_Product_1,Var_Product_2,Var_Product_3,Var_Product_4,Var_Product_5,Var_Product_6,Var_Product_7,Var_Product_8,Var_Product_9,Var_Product_10,Var_Product_11,Var_Product_12,Post_Product_1,Post_Product_2,Post_Product_3,Post_Product_4,Post_Product_5,Post_Product_6,Post_Product_7,Post_Product_8,Post_Product_9,Post_Product_10,Post_Product_11,Post_Product_12,Prev_Product_1,Prev_Product_2,Prev_Product_3,Prev_Product_4,Prev_Product_5,Prev_Product_6,Prev_Product_7,Prev_Product_8,Prev_Product_9,Prev_Product_10,Prev_Product_11,Prev_Product_12
201946,490019.0,116500.0,2000.0,2000.0,2000.0,-999.0,-999.0,-999.0,-999.0,198250.0,198250.0,198250.0,198250.0,-999.0,137500.0,206000.0,206000.0,213500.0,122000.0,215000.0,207225.0,231225.0,267225.0,327225.0,269925.0,427092.0,374680.0,367032.0,394547.0,439265.0,287308.0,308745.0,409574.0,479100.0,444339.0,377700.0,465629.0
201947,450968.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,213500.0,213500.0,213500.0,-999.0,198500.0,206000.0,213500.0,122000.0,214500.0,207200.0,-999.0,-999.0,207225.0,209925.0,209925.0,490019.0,427092.0,374680.0,367032.0,394547.0,439265.0,287308.0,308745.0,409574.0,479100.0,444339.0,377700.0
201948,258245.0,-999.0,137500.0,114500.0,206000.0,231000.0,205900.0,205900.0,198250.0,198250.0,-999.0,-999.0,-999.0,203000.0,195500.0,203000.0,116000.0,208000.0,195000.0,-999.0,-999.0,207225.0,209925.0,209925.0,-999.0,450968.0,490019.0,427092.0,374680.0,367032.0,394547.0,439265.0,287308.0,308745.0,409574.0,479100.0,444339.0
201949,133191.0,203000.0,198500.0,206000.0,206000.0,206000.0,231000.0,213500.0,213500.0,213500.0,213500.0,217000.0,217000.0,200340.0,203000.0,116000.0,206000.0,195000.0,202500.0,202500.0,203375.0,205875.0,205875.0,-999.0,103950.0,258245.0,450968.0,490019.0,427092.0,374680.0,367032.0,394547.0,439265.0,287308.0,308745.0,409574.0,479100.0
201950,420560.0,200340.0,195500.0,206000.0,206000.0,206000.0,206000.0,231000.0,205900.0,198250.0,198250.0,198250.0,201500.0,200500.0,116000.0,206000.0,195000.0,210000.0,195000.0,211000.0,-999.0,-999.0,-999.0,103950.0,316575.0,133191.0,258245.0,450968.0,490019.0,427092.0,374680.0,367032.0,394547.0,439265.0,287308.0,308745.0,409574.0
201951,472028.0,200500.0,203000.0,203000.0,213500.0,213500.0,213500.0,213500.0,213500.0,213500.0,213500.0,213500.0,213500.0,108750.0,139000.0,202500.0,202500.0,202500.0,203375.0,-999.0,-999.0,-999.0,275875.0,282625.0,282625.0,420560.0,133191.0,258245.0,450968.0,490019.0,427092.0,374680.0,367032.0,394547.0,439265.0,287308.0,308745.0
201952,194257.0,108750.0,116000.0,116000.0,116000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,76250.0,76250.0,151000.0,202500.0,202500.0,202500.0,203375.0,-999.0,-999.0,-999.0,275875.0,282625.0,282625.0,282625.0,472028.0,420560.0,133191.0,258245.0,450968.0,490019.0,427092.0,374680.0,367032.0,394547.0,439265.0,287308.0
202001,326957.0,151000.0,139000.0,206000.0,206000.0,208000.0,214500.0,215000.0,217000.0,215000.0,215000.0,214500.0,214500.0,202500.0,199500.0,202500.0,203375.0,-999.0,-999.0,-999.0,275875.0,282625.0,282625.0,282625.0,282625.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
202002,329459.0,202500.0,202500.0,202500.0,195000.0,195000.0,195000.0,207200.0,207225.0,199550.0,199550.0,199550.0,199550.0,200500.0,199100.0,171000.0,-999.0,-999.0,-999.0,70000.0,282625.0,282625.0,282625.0,282625.0,282625.0,326957.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
202003,296120.0,200500.0,199500.0,202500.0,202500.0,210000.0,202500.0,-999.0,-999.0,231225.0,238900.0,238900.0,242900.0,200100.0,229000.0,120000.0,-999.0,-999.0,70000.0,259000.0,261700.0,261700.0,261700.0,263600.0,28000.0,329459.0,326957.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
